GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Financery,com.example.financery.mapper,TagMapper,31,3,0,0,8,1,2,1,2,1
Financery,com.example.financery.mapper,UserMapper,56,0,0,0,15,0,2,0,2,0
Financery,com.example.financery.mapper,BillMapper,54,0,0,0,14,0,2,0,2,0
Financery,com.example.financery.mapper,TransactionMapper,58,26,0,0,14,7,1,1,1,1
Financery,com.example.financery.model,LogObject,9,0,0,0,4,0,1,0,1,0
Financery,com.example.financery.model,ErrorResponse,12,0,0,0,5,0,1,0,1,0
Financery,com.example.financery.model,User,24,0,2,0,6,0,3,0,2,0
Financery,com.example.financery.model,Tag,14,0,2,0,2,0,2,0,1,0
Financery,com.example.financery.model,Bill,20,42,5,3,3,9,5,2,1,2
Financery,com.example.financery.model,Transaction,49,0,6,0,6,0,5,0,2,0
Financery,com.example.financery.controller,TransactionController,51,0,0,0,12,0,9,0,9,0
Financery,com.example.financery.controller,VisitCounterController,7,6,0,0,2,3,1,1,1,1
Financery,com.example.financery.controller,UserController,34,12,0,0,8,5,6,1,6,1
Financery,com.example.financery.controller,TagController,55,0,0,0,13,0,8,0,8,0
Financery,com.example.financery.controller,BillController,31,0,0,0,7,0,6,0,6,0
Financery,com.example.financery.controller,LogController,82,6,6,0,19,3,7,1,4,1
Financery,com.example.financery,FinanceryApplication,5,3,0,0,2,1,1,1,1,1
Financery,com.example.financery.config,OpenApiConfig,0,25,0,0,0,9,0,2,0,2
Financery,com.example.financery.config,AsyncConfig,0,23,0,0,0,8,0,2,0,2
Financery,com.example.financery.service.impl,LogServiceImpl,609,43,43,1,146,12,36,3,14,3
Financery,com.example.financery.service.impl,UserServiceImpl,0,128,0,0,0,25,0,10,0,10
Financery,com.example.financery.service.impl,TagServiceImpl,0,460,0,14,0,84,0,31,0,24
Financery,com.example.financery.service.impl,BillServiceImpl,0,351,0,12,0,61,0,21,0,15
Financery,com.example.financery.service.impl,VisitCounterServiceImpl,10,9,0,0,3,2,2,1,2,1
Financery,com.example.financery.service.impl,TransactionServiceImpl,0,680,2,48,0,133,2,45,0,22
Financery,com.example.financery.aspect,LoggingAspect,61,52,13,7,20,16,11,5,1,5
Financery,com.example.financery.utils,InMemoryCache.new LinkedHashMap() {...},15,9,2,0,5,1,2,1,1,1
Financery,com.example.financery.utils,InMemoryCache,124,26,10,0,29,6,13,2,8,2
Financery,com.example.financery.exception,InvalidInputException,0,4,0,0,0,2,0,1,0,1
Financery,com.example.financery.exception,LogException,4,0,0,0,2,0,1,0,1,0
Financery,com.example.financery.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
Financery,com.example.financery.exception,FileNotReadyException,4,0,0,0,2,0,1,0,1,0
Financery,com.example.financery.exception,AlreadyExistsException,4,0,0,0,2,0,1,0,1,0
Financery,com.example.financery.exception,GlobalExceptionHandler,206,7,4,0,43,2,15,2,13,2
